
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
     888   1   1   8   0  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     887   1   1   7   0  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     886   1   1   6   0  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     885   1   1   5   0  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     884   1   1   4   0  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     883   1   1   3   0  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     882   1   1   2   0  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     881   1   1   1   0  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     880   1   1   0   0  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     873   1   1   3   7  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     872   1   1   2   7  10     0     0      15.216553 0.866667 0.133333 0.000000 0.000000
     871   1   1   1   7  10     0     0      49.203798 0.800000 0.200000 0.000000 0.000000
     870   1   1   0   7  10     0     0      49.627452 0.368571 0.631429 0.000000 0.000000
     864   1   1   4   6  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     863   1   1   3   6  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     862   1   1   2   6  10     0     0      15.216553 0.866667 0.133333 0.000000 0.000000
     861   1   1   1   6  10     0     0      49.203798 0.800000 0.200000 0.000000 0.000000
     860   1   1   0   6  10     0     0      49.627452 0.368571 0.631429 0.000000 0.000000
     855   1   1   5   5  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     854   1   1   4   5  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     853   1   1   3   5  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     852   1   1   2   5  10     0     0      15.216553 0.866667 0.133333 0.000000 0.000000
     851   1   1   1   5  10     0     0      49.203798 0.800000 0.200000 0.000000 0.000000
     850   1   1   0   5  10     0     0      49.627452 0.368571 0.631429 0.000000 0.000000
     846   1   1   6   4  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     845   1   1   5   4  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     844   1   1   4   4  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     843   1   1   3   4  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     842   1   1   2   4  10     0     0      15.216553 0.866667 0.133333 0.000000 0.000000
     841   1   1   1   4  10     0     0      49.203798 0.800000 0.200000 0.000000 0.000000
     840   1   1   0   4  10     0     0      49.627452 0.368571 0.631429 0.000000 0.000000
     837   1   1   7   3  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     836   1   1   6   3  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     835   1   1   5   3  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     834   1   1   4   3  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     833   1   1   3   3  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
     832   1   1   2   3  10     0     0      15.216553 0.866667 0.133333 0.000000 0.000000
     831   1   1   1   3  10     0     0      49.203798 0.800000 0.200000 0.000000 0.000000
     830   1   1   0   3  10     0     0      49.627452 0.368571 0.631429 0.000000 0.000000
     828   1   1   8   2  10     0     0       9.048763 1.000000 0.000000 0.000000 0.000000
